NAME1 RA1 DEC1 Z1 RMS1 R1 G1 M1 Cf1 Cl1 Aib1 Aog1 NAME2 RA2 DEC2 Z2 RMS2 R2 G2 M2 Cf2 Cl2 Aib2 Aog2
J080538.66+261005.5 121.411100 26.168190 0.016953 0.020652 66.000000 0.512442 -1.921461 0.332833 2.764210 0.166857 0.079283 J130850.11-004902.3 197.208800 -0.817304 0.017968 0.024070 59.000000 0.591395 -2.470289 0.528003 3.798339 0.140519 0.085634
J080538.66+261005.5 121.411100 26.168190 0.016953 0.020652 66.000000 0.512442 -1.921461 0.332833 2.764210 0.166857 0.079283 J034240.10-062254.6 55.667104 -6.381836 0.021197 0.019887 45.000000 0.656439 -2.569083 0.524887 3.829584 0.105329 0.072564
J110233.29-001727.6 165.638700 -0.291010 0.017294 0.014167 35.000000 0.638659 -2.666017 0.561280 4.064567 0.152552 0.077674 J101006.19+120214.3 152.525780 12.037308 0.018278 0.022465 13.000000 0.702765 -2.232604 0.494596 2.614394 0.091682 0.070820
J110233.29-001727.6 165.638700 -0.291010 0.017294 0.014167 35.000000 0.638659 -2.666017 0.561280 4.064567 0.152552 0.077674 J085038.82+301031.2 132.661740 30.175340 0.026619 0.012811 15.000000 0.692672 -2.058027 0.501544 3.010300 0.095386 0.062377
J110233.29-001727.6 165.638700 -0.291010 0.017294 0.014167 35.000000 0.638659 -2.666017 0.561280 4.064567 0.152552 0.077674 J134250.16+471513.9 205.708980 47.253863 0.024991 0.021699 15.000000 0.605704 -2.367120 0.457311 3.010300 0.134648 0.071943
J110233.29-001727.6 165.638700 -0.291010 0.017294 0.014167 35.000000 0.638659 -2.666017 0.561280 4.064567 0.152552 0.077674 J121326.84-000548.1 183.361830 -0.096700 0.020971 0.021221 22.000000 0.568875 -2.249951 0.430592 3.141945 0.207038 0.104529
J110233.29-001727.6 165.638700 -0.291010 0.017294 0.014167 35.000000 0.638659 -2.666017 0.561280 4.064567 0.152552 0.077674 J094636.06+081034.8 146.650250 8.176330 0.025854 0.024834 16.000000 0.653320 -2.297605 0.521821 3.010300 0.150607 0.076863
J033458.00-054853.3 53.741680 -5.814796 0.018324 0.019064 19.000000 0.654207 -2.224195 0.484177 3.494850 0.098505 0.054321 J113148.60+005147.7 172.952520 0.863252 0.025361 0.016229 27.000000 0.522372 -1.996832 0.393914 2.821357 0.236356 0.095338
J033458.00-054853.3 53.741680 -5.814796 0.018324 0.019064 19.000000 0.654207 -2.224195 0.484177 3.494850 0.098505 0.054321 J134858.52+033120.9 207.243850 3.522482 0.024285 0.018709 11.000000 0.691046 -2.381669 0.590832 3.266063 0.093975 0.088541
J033458.00-054853.3 53.741680 -5.814796 0.018324 0.019064 19.000000 0.654207 -2.224195 0.484177 3.494850 0.098505 0.054321 J091835.38+495042.5 139.647410 49.845151 0.027837 0.022449 19.000000 0.558135 -2.100296 0.373439 2.720340 0.197253 0.079017
J033458.00-054853.3 53.741680 -5.814796 0.018324 0.019064 19.000000 0.654207 -2.224195 0.484177 3.494850 0.098505 0.054321 J233813.30+143153.0 354.555400 14.531387 0.023126 0.016897 15.000000 0.679956 -2.144183 0.491299 3.010300 0.095085 0.059666
J033458.00-054853.3 53.741680 -5.814796 0.018324 0.019064 19.000000 0.654207 -2.224195 0.484177 3.494850 0.098505 0.054321 J094636.06+081034.8 146.650250 8.176330 0.025854 0.024834 16.000000 0.653320 -2.297605 0.521821 3.010300 0.150607 0.076863
J011059.31+002601.1 17.747137 0.433651 0.018843 0.007847 17.000000 0.754750 -2.179059 0.544015 2.559417 0.052280 0.047342 J110338.36-005208.4 165.909840 -0.869007 0.028609 0.016703 10.000000 0.691939 -1.574279 0.400699 2.129844 0.117784 0.092594
J011059.31+002601.1 17.747137 0.433651 0.018843 0.007847 17.000000 0.754750 -2.179059 0.544015 2.559417 0.052280 0.047342 J100213.84+114120.5 150.557680 11.689017 0.021984 0.022143 28.000000 0.591161 -1.996651 0.410210 2.917883 0.407791 0.358532
J011059.31+002601.1 17.747137 0.433651 0.018843 0.007847 17.000000 0.754750 -2.179059 0.544015 2.559417 0.052280 0.047342 J091835.38+495042.5 139.647410 49.845151 0.027837 0.022449 19.000000 0.558135 -2.100296 0.373439 2.720340 0.197253 0.079017
J011059.31+002601.1 17.747137 0.433651 0.018843 0.007847 17.000000 0.754750 -2.179059 0.544015 2.559417 0.052280 0.047342 J221210.26+135703.6 333.042770 13.950991 0.027876 0.019067 4.000000 0.861050 -2.675645 0.790433 2.385606 0.209563 0.209563
