NAME1,RA1,DEC1,Z1,RMS1,NAME2,RA2,DEC2,Z2,RMS2
J112536.17+542257.2,171.40069,54.382555,0.020642,0.0252996,J102332.53+460328.0,155.88556,46.05777,0.0257652,0.0217453
J112536.17+542257.2,171.40069,54.382555,0.020642,0.0252996,J135848.07+045426.9,209.70031,4.9074855,0.0247382,0.0223326
J112536.17+542257.2,171.40069,54.382555,0.020642,0.0252996,J161433.82+414240.5,243.64091000000002,41.711242999999996,0.0264143,0.0155273
J112536.17+542257.2,171.40069,54.382555,0.020642,0.0252996,J081956.74+392654.8,124.98643,39.448547,0.0276905,0.0167022
J120257.82+045045.1,180.7409,4.84585,0.020675,0.0237053,J171934.81+563748.1,259.89506,56.630038,0.0273728,0.021854
J120257.82+045045.1,180.7409,4.84585,0.020675,0.0237053,J111406.32+554239.1,168.52632,55.710871999999995,0.0279428,0.0158176
J120257.82+045045.1,180.7409,4.84585,0.020675,0.0237053,J151944.30+441918.6,229.93459,44.321846,0.0282073,0.0265155
J120257.82+045045.1,180.7409,4.84585,0.020675,0.0237053,J090015.62+401748.4,135.06507,40.296765,0.0289336,0.0227251
J120257.82+045045.1,180.7409,4.84585,0.020675,0.0237053,J231221.42+143633.8,348.08923,14.609380999999999,0.0162342,0.0169398
J111607.65+412353.2,169.03189,41.398105,0.020843,0.0242089,J114422.81+082315.1,176.09505,8.3875392,0.0199703,0.0308353
J111607.65+412353.2,169.03189,41.398105,0.020843,0.0242089,J145627.95+021224.7,224.11647000000002,2.2068737,0.0288167,0.02772
J111607.65+412353.2,169.03189,41.398105,0.020843,0.0242089,J091431.31+491657.5,138.63047,49.282628,0.0293311,0.0220603
J111607.65+412353.2,169.03189,41.398105,0.020843,0.0242089,J164106.57+460014.6,250.27736000000002,46.004065000000004,0.0177982,0.0160345
J111607.65+412353.2,169.03189,41.398105,0.020843,0.0242089,J090838.46+323534.6,137.16024,32.592954,0.0142966,0.0148722
J114530.26+094344.8,176.37607,9.7291,0.021371,0.0323973,J132505.37-005411.2,201.27236000000002,-0.90310404,0.0180788,0.0124759
J114530.26+094344.8,176.37607,9.7291,0.021371,0.0323973,J131038.58+611623.6,197.66075,61.273235,0.0313322,0.0165466
J114530.26+094344.8,176.37607,9.7291,0.021371,0.0323973,J121626.72+105342.4,184.11133,10.895111,0.0246112,0.0221838
J114530.26+094344.8,176.37607,9.7291,0.021371,0.0323973,J102813.91+590602.3,157.05795,59.100646,0.0313028,0.015028
J114530.26+094344.8,176.37607,9.7291,0.021371,0.0323973,J004436.94-094600.4,11.153903,-9.766788400000001,0.0298578,0.0194904
J132428.24+044629.6,201.11768,4.774889,0.02143,0.0225676,J085333.60+394537.3,133.39002,39.760373,0.023416,0.0217417
