NAME1,I,type,other,hubble,sat,bar,core,asa,mg,tl,gud,onsa,ring
J115341.78+461242.3,0.10441179594452386,d,,s,,,,,,,,,
J120114.35-034041.0,0.1127226914666236,b,,e,,,,,,,,,
J120704.75+090647.9,0.10092754653863152,d,,s,,,,,,,,,
J121423.17+434641.0,0.059617881030100524,a,,e,,,,,,,,,
J121754.98+583935.7,0.06783055107247356,b,,e,,,,,,,,,
J121958.74+560855.0,0.13256614411989068,d,,s,,,,,,,,,
J122324.14+024044.4,0.09591156836616192,b,,e,,,,,,,,,
J124635.25+022208.8,0.06507852330416415,a,,e,,,,,,,,,
J125042.44-024931.4,0.10397595799608578,d,,s,,,,,,,,,
J125718.83-011920.8,0.11154769983470483,f,,e,,,,,,,,,
J130615.17+585733.2,0.10163746262442842,c,,l,,,,,,,,,
J130620.97+531823.2,0.06501052400538497,b,,e,,,,,,,,,
J131305.81+012755.9,0.10145826948636504,d,,s,,,,,,,,,
J132428.24+044629.6,0.09738264462205527,f,,e,,,,,,,,,
J133248.70+415218.6,0.15353424925905645,2,,a,1,,,,1,,,,
J133815.87+043233.3,0.059899852795407285,b,,e,,,,,,,,,
J134210.11+564210.3,0.09645919110440787,a,,e,,,,,,,,,
J134632.13+642325.2,0.1144058056216398,b,,e,,,,,,,,,
J134952.84+020445.1,0.09559969698862926,f,,e,,,,,,,,,
J140018.43+050242.2,0.12006308758729313,e,,s,,,,,,,,,
J140040.57-015518.3,0.09631972255539743,b,,e,,,,,,,,,
J140718.29+125314.0,0.11971648789083365,b,,e,,,,,,,,,
J140941.70+372905.0,0.07420654108575976,b,,e,,,,,,,,,
J142704.55+355409.6,0.06365612154945423,c,,l,,,,,,,,,
J142817.99+571018.5,0.12577377445286805,1,,a,,,,,,,,1,
J143452.46+483942.8,0.06409467415744105,d,,a,,,,,,,,,1
J144052.61-023506.3,0.10245661364475576,f,,e,,,,,,,,,
J144331.27+492335.2,0.20509406756869214,c,,l,,,,,,,,,
J144629.98+500130.6,0.11742145006824385,f,,e,,,,,,,,,
J145901.36+611353.6,0.12456375856960218,d,,s,,,,,,,,,
J150511.42-020831.0,0.1285458287698851,2,,a,,,,,,,1,,
J150745.00+512710.3,0.12788471148289682,f,,e,,,,,,,,,
J151607.34+034804.7,0.10838036748872537,b,,e,,,,,,,,,
J153552.40+575409.5,0.04842743886625848,a,,e,,,,,,,,,
J154744.15+412408.3,0.10804374342115368,f,,e,,,,,,,,,
J155417.43+323837.8,0.09713987819073486,b,,e,,,,,,,,,
J155926.11+521235.3,0.05540228954977315,b,,e,,,,,,,,,
J160051.41+462853.1,0.08176744056567006,f,,e,,,,,,,,,
J160445.01+444316.9,0.11018247303266264,d,,s,,,,,,,,,
J160505.16+452634.8,0.132109663125646,d,,s,,,,,,,,,
J160656.04+371917.8,0.117999930475803,e,,s,,,,,,,,,
J161051.81+485439.2,0.07362932738113097,a,,e,,,,,,,,,
J161156.32+521116.9,0.0809372941965742,b,,e,,,,,,,,,
J161809.38+361957.8,0.12024566702329195,b,,e,,,,,,,,,
J161927.81+395832.3,0.09754515669566158,f,,e,,,,,,,,,
J162012.76+400906.2,0.092589115892567,b,,e,,,,,,,,,
J162345.89+410456.4,0.10516761275432887,a,,e,,,,,,,,,
J162636.40+350242.1,0.17431486960227524,2,,a,,,,,,1,1,,
J163007.40-001136.4,0.12584050444939074,2,,a,,,,1,,,,,
J163159.59+243740.3,0.08629094241486468,a,,e,,,,,,,,,
J163348.87+355318.5,0.1378503929501586,e,,a,,,,,,,,1,
J163453.67+231242.7,0.09460296589353694,1,,a,,,,,,,,,1
J163629.67+410222.4,0.08714143745711278,a,,e,,,,,,,,,
J164045.62+431656.8,0.13819691581586238,b,,e,,,,,,,,,
J164107.64+224924.8,0.060824858781415476,a,,e,,,,,,,,,
J164520.63+424528.0,0.09893277482375797,f,,e,,,,,,,,,
J164721.48+444209.8,0.11430784800850753,a,,e,,,,,,,,,
J165124.40+243121.4,0.06709066442688871,f,,e,,,,,,,,,
J165601.61+211241.2,0.5870970624950227,4,,a,,,,,1,,,,
J173809.30+584253.7,0.09463990526748264,d,,s,,,,,,,,,
J204745.25-052515.7,0.09130524108871484,b,,e,,,,,,,,,
J210721.91+110359.1,0.11357842376598125,b,,e,,,,,,,,,
J215512.42+005906.5,0.1114128810854732,b,,e,,,,,,,,,
J230443.48-084108.6,0.0936028958278757,d,,s,,,,,,,,,
J230920.26+004523.5,0.0921158548264531,1,,a,1,,,,,,,1,1
J231815.67+001540.2,0.08929726517245276,1,,a,1,,1,,,,,,
J232721.96+152437.3,0.10230956539770653,b,,e,,,,,,,,,
