NAME2,I,type,other,hubble,sat,bar,core,asa,gud,tl,mg,onsa,ring
J075953.49+232324.2,0.0905727407086446,1,,a,1,,,,,,,,
J080248.17+450204.4,0.07756765383203652,e,,e,,,,,,,,,
J080303.46+274438.4,0.13883706130931933,1,,a,1,,,,,,,,
J080328.07+250609.6,0.1754113524156475,3,,a,,,,,,,,,1
J080359.20+234520.5,0.09224117910620393,a,,e,,,,,,,,,
J080547.35+225434.9,0.1677955032614475,a,,e,,,,,,,,,
J080707.18+361400.5,0.08683869890115915,1,,a,1,,,,,,,,
J080846.81+381942.5,0.08924620830295475,f,,e,,,,,,,,,
J081006.07+245519.5,0.09699512341768776,b,,e,,,,,,,,,
J081009.25+071332.9,0.3407716471706354,3,,a,,,,,,1,,,
J081200.75+390045.2,0.17884098032440707,1,,a,1,,,,,,,,
J081225.47+374348.8,0.06797264115191473,a,,e,,,,,,,,,
J081455.56+503945.6,0.10520924136917872,2,,a,,,,,1,,,,
J081535.09+264143.5,0.2868701471481544,f,,e,,,,,,,,,
J081616.93+255827.9,0.06640517367540562,a,,e,,,,,,,,,
J081956.74+392654.8,0.13714611419439116,b,,e,,,,,,,,,
J082242.86+413100.4,0.12641977404206134,b,,e,,,,,,,,,
J082253.84+055615.5,0.0701085356894588,b,,e,,,,,,,,,
J082403.67+515415.7,0.13497361520335302,b,,e,,,,,,,,,
J082443.29+295923.6,0.134482356823128,b,,e,,,,,,,,,
J082825.87+250052.7,0.08586971198338346,2,,a,,,,,1,,,,
J082854.33+343906.0,0.2935301950941031,3,,a,,,,,,1,,,
J082942.43+062317.8,0.17755006604185414,1,,a,1,,,,,,,,
J083057.51+421230.2,0.10332458732930014,b,,e,,,,,,,,,
J083253.65+474007.6,0.11616116464078485,f,,e,,,,,,,,,
J083523.72+420909.6,0.12983581046645312,2,,a,,,,,1,,,,
J083551.66+314159.3,0.10744678637084447,a,,e,,,,,,,,,
J083614.89+521209.1,0.07001934940787986,a,,e,,,,,,,,,
J083658.39+051119.1,0.13775640358234092,c,,l,,,,,,,,,
J083708.45+450953.8,0.19812781033943205,1,,a,1,,,,,,,,
J083714.91+044145.2,0.12756302719605475,1,,a,,,,,,,,,1
J083726.59+400208.1,0.08985355216075197,d,,a,,,,,,,,,1
J083816.15+524459.4,0.13739510209990485,d,,s,,,,,,,,,
J083848.15+040734.1,0.1081047018746036,2,,a,,,,,1,,,,
J083902.96+470756.3,0.11795789141936168,2,,a,,,,,1,,,,
J083904.17+502645.8,0.07580777291599017,d,,s,,,,,,,,,
J084029.20+292640.8,0.10965792945973774,f,,e,,,,,,,,,
J084034.42+023640.8,0.08218296318990552,a,,e,,,,,,,,,
J084647.67+060600.1,0.07159557013475437,b,,e,,,,,,,,,
J084707.73+045127.7,0.14191741333710825,a,,e,,,,,,,,,
J084747.97+003913.4,0.08713358487617641,b,,e,,,,,,,,,
J084805.78+542616.1,0.1048431675419427,d,,s,,,,,,,,,
J084834.00+392707.5,0.08212102671268515,f,,e,,,,,,,,,
J085015.01+534032.0,0.10703983795435502,d,,s,,,,,,,,,
J085038.82+301031.2,0.07843861364335715,c,,l,,,,,,,,,
J085221.86+375108.3,0.1497918867982946,b,,e,,,,,,,,,
J085246.95+425005.7,0.14288127616383786,4,,a,,,,,,,1,,
J085326.21+454609.8,0.0677583046649486,b,,e,,,,,,,,,
J085333.60+394537.3,0.1818699391331887,2,,a,,,,,1,,,,
J085547.66+004739.4,0.11942438202952227,1,,a,1,,,,,,,,
J085618.72-002629.4,0.07007767853683601,b,,e,,,,,,,,,
J085814.87+353901.1,0.07150945666992,b,,e,,,,,,,,,
J085821.95+574105.8,0.1272445834758425,b,,e,,,,,,,,,
J085827.42+503243.2,0.1119651377062908,a,,e,,,,,,,,,
J085828.60+000124.5,0.07487593512197217,b,,e,,,,,,,,,
J085828.60+003813.6,0.09711117661483168,1,,a,1,,,,,,,,
J085837.31+515242.6,0.11286944326300992,d,,s,,,,,,,,,
J085944.13+295408.4,0.09379718940601417,b,,e,,,,,,,,,
J085949.05+050339.1,0.1378922145495527,1,,a,1,,,,,,,,
J090005.05+000446.7,0.09783041031964164,f,,e,,,,,,,,,
J090015.62+401748.4,0.14306171981582158,1,,a,1,,,,,,,,
J090130.95+414633.5,0.10827474351908926,2,,a,,,,,1,,,,
J090131.21+491931.4,0.1026650087047671,f,,e,,,,,,,,,
J090229.39+032305.9,0.0779373418596778,c,,l,,,,,,,,,
J090312.97+093708.4,0.09371227486064414,d,,s,,,,,,,,,
J090432.91+581719.8,0.17643432857468455,f,,e,,,,,,,,,
J090537.70+383705.7,0.07797357065920438,f,,e,,,,,,,,,
J090547.35+374738.3,0.3716321472323517,4,,a,,,,,,,1,,
J090554.49+471045.5,0.24670716533140746,3,,a,,,,,,1,,,
J090746.24+331000.8,0.12536160522200065,2,,a,,,,,1,,,,
J090759.43+031033.8,0.11645896410579525,3,,a,,,,,,1,,,
J090821.74+432318.4,0.09814265810509083,a,,e,,,,,,,,,
J090838.46+323534.6,0.038447195408251464,c,,l,,,,,,,,,
J091256.09+465201.5,0.19048829788690036,a,,e,,,,,,,,,
J091431.31+491657.5,0.07619422329317989,a,,e,,,,,,,,,
J091520.53+430054.4,0.1440614461767815,d,,a,,,,,1,,,,
J091556.76+500103.9,0.1561239143897759,b,,e,,,,,,,,,
J091659.97+092648.6,0.15879329579923754,3,,a,,,,,,1,,,
J091835.38+495042.5,0.10202351237482224,a,,e,,,,,,,,,
J091846.54+581505.3,0.08487809144645365,b,,e,,,,,,,,,
J092206.32+524209.7,0.12398814063483556,b,,e,,,,,,,,,
J092256.42+110455.2,0.16033794400787954,1,,a,,,,1,,,,,
J092346.59+352900.3,0.18248546567441576,b,,e,,,,,,,,,
J092639.80+455049.9,0.09579692973119328,b,,e,,,,,,,,,
J092902.44+582100.7,0.20835188664570367,c,c,l,,,,,,,,,
J093003.56+341325.3,0.07589050606278391,f,,e,,,,,,,,,
J093141.45+474209.2,0.16915548326908547,b,,e,,,,,,,,,
J093311.89+341518.6,0.08844572127469474,d,,s,,,,,,,,,
J093503.25+341703.4,0.06132993653601515,d,,s,,,,,,,,,
J093515.24+095422.4,0.11179622007833076,b,,e,,,,,,,,,
J093522.45+404502.9,0.11957165790856157,a,,e,,,,,,,,,
J093738.84+415109.2,0.1020182249788196,b,,e,,,,,,,,,
J093808.81+012657.0,0.12700567636917526,f,,e,,,,,,,,,
J093821.55+063130.9,0.07289592539659333,a,,e,,,,,,,,,
J093917.26+363343.9,0.11301509068936512,b,,e,,,,,,,,,
J093952.36+053236.3,0.08158022138519715,b,,e,,,,,,,,,
J094321.54+385457.7,0.07940666784789653,b,,e,,,,,,,,,
J094505.46+023932.9,0.13043501539076305,a,,e,,,,,,,,,
J094511.97-000712.1,0.12393633424268193,b,,e,,,,,,,,,
J094632.03+351949.3,0.12150848432146615,d,,a,,,,,,,,,1
J094636.06+081034.8,0.09251788526244986,a,,e,,,,,,,,,
J094705.72+050159.9,0.06278600533429117,a,,e,,,,,,,,,
J094814.71+574444.5,0.10433134202154776,b,,e,,,,,,,,,
J094830.01+553822.7,0.11922717997777453,b,,e,,,,,,,,,
J094937.92+404125.2,0.10849528375463342,f,,e,,,,,,,,,
J095058.70+375758.9,0.16140981110818856,2,,a,,,,,1,,,,
J095145.09+031620.5,0.0992805478749368,d,,s,,,,,,,,,
J095150.14+082213.9,0.09630339254295492,2,,a,,,,,1,,,,
J095434.83+501433.3,0.07909726502533035,a,,e,,,,,,,,,
J095654.01+052140.0,0.2134452584919536,c,,l,,,,,,,,,
J095812.60+110635.5,0.0719397628209738,b,,e,,,,,,,,,
