NAME1,objid1,RA1,DEC1,LOGL1_5007,Z1NAME2,objid2,RA2,DEC2,LOGL2_5007,Z2
J112536.17+542257.2,,171.40069,54.382555,40.493327,,,4.9472132,0.59079485,40.230199,0.0177407
J112536.17+542257.2,,171.40069,54.382555,40.493327,,,4.9472132,0.59079485,40.230199,0.0177407
J112536.17+542257.2,,171.40069,54.382555,40.493327,,,4.9472132,0.59079485,40.230199,0.0177407
J120257.82+045045.1,5.880103590865797e+17,180.7409,4.84585,39.634736,,,259.89506,56.630038,39.629025,0.0273728
J120257.82+045045.1,5.880103590865797e+17,180.7409,4.84585,39.634736,,,259.89506,56.630038,39.629025,0.0273728
J120257.82+045045.1,5.880103590865797e+17,180.7409,4.84585,39.634736,,,259.89506,56.630038,39.629025,0.0273728
J120257.82+045045.1,5.880103590865797e+17,180.7409,4.84585,39.634736,,,259.89506,56.630038,39.629025,0.0273728
J120257.82+045045.1,5.880103590865797e+17,180.7409,4.84585,39.634736,,,259.89506,56.630038,39.629025,0.0273728
J111607.65+412353.2,,169.03189,41.398105,39.571875,,,176.09505,8.3875392,39.568495,0.0199703
J111607.65+412353.2,,169.03189,41.398105,39.571875,,,176.09505,8.3875392,39.568495,0.0199703
J111607.65+412353.2,,169.03189,41.398105,39.571875,,,176.09505,8.3875392,39.568495,0.0199703
J111607.65+412353.2,,169.03189,41.398105,39.571875,,,176.09505,8.3875392,39.568495,0.0199703
J111607.65+412353.2,,169.03189,41.398105,39.571875,,,176.09505,8.3875392,39.568495,0.0199703
J114530.26+094344.8,5.877348927515525e+17,176.37607,9.7291,39.173949,,,201.27236000000002,-0.90310404,39.160458,0.0180788
J114530.26+094344.8,5.877348927515525e+17,176.37607,9.7291,39.173949,,,201.27236000000002,-0.90310404,39.160458,0.0180788
J114530.26+094344.8,5.877348927515525e+17,176.37607,9.7291,39.173949,,,201.27236000000002,-0.90310404,39.160458,0.0180788
J114530.26+094344.8,5.877348927515525e+17,176.37607,9.7291,39.173949,,,201.27236000000002,-0.90310404,39.160458,0.0180788
J114530.26+094344.8,5.877348927515525e+17,176.37607,9.7291,39.173949,,,201.27236000000002,-0.90310404,39.160458,0.0180788
J132428.24+044629.6,,201.11768,4.774889,39.576382,,,133.39002,39.760373,39.5933,0.023416
J132428.24+044629.6,,201.11768,4.774889,39.576382,,,133.39002,39.760373,39.5933,0.023416
J132428.24+044629.6,,201.11768,4.774889,39.576382,,,133.39002,39.760373,39.5933,0.023416
J132428.24+044629.6,,201.11768,4.774889,39.576382,,,133.39002,39.760373,39.5933,0.023416
J132428.24+044629.6,,201.11768,4.774889,39.576382,,,133.39002,39.760373,39.5933,0.023416
J082510.23+375919.8,,126.29263,37.988820000000004,40.416422999999995,,,121.44728,22.909688,40.423747,0.030256
J082510.23+375919.8,,126.29263,37.988820000000004,40.416422999999995,,,121.44728,22.909688,40.423747,0.030256
J082510.23+375919.8,,126.29263,37.988820000000004,40.416422999999995,,,121.44728,22.909688,40.423747,0.030256
J082510.23+375919.8,,126.29263,37.988820000000004,40.416422999999995,,,121.44728,22.909688,40.423747,0.030256
J082510.23+375919.8,,126.29263,37.988820000000004,40.416422999999995,,,121.44728,22.909688,40.423747,0.030256
J093812.26+074340.1,,144.5511,7.727792,40.055331,,,127.22636000000001,34.651656,40.057303999999995,0.0209219
J093812.26+074340.1,,144.5511,7.727792,40.055331,,,127.22636000000001,34.651656,40.057303999999995,0.0209219
J093812.26+074340.1,,144.5511,7.727792,40.055331,,,127.22636000000001,34.651656,40.057303999999995,0.0209219
J093812.26+074340.1,,144.5511,7.727792,40.055331,,,127.22636000000001,34.651656,40.057303999999995,0.0209219
J093812.26+074340.1,,144.5511,7.727792,40.055331,,,127.22636000000001,34.651656,40.057303999999995,0.0209219
J133815.87+043233.3,,204.56613000000002,4.542593,40.967855,,5.877343054135299e+17,330.81665,0.571085,40.524898,0.0301422
J133815.87+043233.3,,204.56613000000002,4.542593,40.967855,,5.877343054135299e+17,330.81665,0.571085,40.524898,0.0301422
J133815.87+043233.3,,204.56613000000002,4.542593,40.967855,,5.877343054135299e+17,330.81665,0.571085,40.524898,0.0301422
J133815.87+043233.3,,204.56613000000002,4.542593,40.967855,,5.877343054135299e+17,330.81665,0.571085,40.524898,0.0301422
J133815.87+043233.3,,204.56613000000002,4.542593,40.967855,,5.877343054135299e+17,330.81665,0.571085,40.524898,0.0301422
J100207.04+030327.7,5.877260338462721e+17,150.52933000000002,3.057686,40.305552,,,56.438184,-7.257463,40.310775,0.0216551
J100207.04+030327.7,5.877260338462721e+17,150.52933000000002,3.057686,40.305552,,,56.438184,-7.257463,40.310775,0.0216551
J100207.04+030327.7,5.877260338462721e+17,150.52933000000002,3.057686,40.305552,,,56.438184,-7.257463,40.310775,0.0216551
J100207.04+030327.7,5.877260338462721e+17,150.52933000000002,3.057686,40.305552,,,56.438184,-7.257463,40.310775,0.0216551
J100207.04+030327.7,5.877260338462721e+17,150.52933000000002,3.057686,40.305552,,,56.438184,-7.257463,40.310775,0.0216551
J121754.98+583935.7,,184.47907,58.659912,40.328483,,,121.44728,22.909688,40.423747,0.030256
J121754.98+583935.7,,184.47907,58.659912,40.328483,,,121.44728,22.909688,40.423747,0.030256
J121754.98+583935.7,,184.47907,58.659912,40.328483,,,121.44728,22.909688,40.423747,0.030256
J121754.98+583935.7,,184.47907,58.659912,40.328483,,,121.44728,22.909688,40.423747,0.030256
J121754.98+583935.7,,184.47907,58.659912,40.328483,,,121.44728,22.909688,40.423747,0.030256
J080740.99+390015.3,,121.92081,39.004246,40.627671,,,206.66998,52.476826,40.705021,0.0292307
J080740.99+390015.3,,121.92081,39.004246,40.627671,,,206.66998,52.476826,40.705021,0.0292307
J080740.99+390015.3,,121.92081,39.004246,40.627671,,,206.66998,52.476826,40.705021,0.0292307
J080740.99+390015.3,,121.92081,39.004246,40.627671,,,206.66998,52.476826,40.705021,0.0292307
J080740.99+390015.3,,121.92081,39.004246,40.627671,,,206.66998,52.476826,40.705021,0.0292307
J122324.14+024044.4,,185.85057,2.679011,40.240788,,,189.51734,48.345096000000005,40.259642,0.0305055
J122324.14+024044.4,,185.85057,2.679011,40.240788,,,189.51734,48.345096000000005,40.259642,0.0305055
J122324.14+024044.4,,185.85057,2.679011,40.240788,,,189.51734,48.345096000000005,40.259642,0.0305055
J122324.14+024044.4,,185.85057,2.679011,40.240788,,,189.51734,48.345096000000005,40.259642,0.0305055
J122324.14+024044.4,,185.85057,2.679011,40.240788,,,189.51734,48.345096000000005,40.259642,0.0305055
J130620.97+531823.2,,196.58738,53.30644399999999,39.094529,,,199.64862,14.046798999999998,39.092706,0.0284924
J130620.97+531823.2,,196.58738,53.30644399999999,39.094529,,,199.64862,14.046798999999998,39.092706,0.0284924
J130620.97+531823.2,,196.58738,53.30644399999999,39.094529,,,199.64862,14.046798999999998,39.092706,0.0284924
J130620.97+531823.2,,196.58738,53.30644399999999,39.094529,,,199.64862,14.046798999999998,39.092706,0.0284924
J130620.97+531823.2,,196.58738,53.30644399999999,39.094529,,,199.64862,14.046798999999998,39.092706,0.0284924
J134632.13+642325.2,,206.63388999999998,64.390328,40.749889,,,162.13996,47.987413000000004,40.712278999999995,0.0332144
J134632.13+642325.2,,206.63388999999998,64.390328,40.749889,,,162.13996,47.987413000000004,40.712278999999995,0.0332144
J134632.13+642325.2,,206.63388999999998,64.390328,40.749889,,,162.13996,47.987413000000004,40.712278999999995,0.0332144
J134632.13+642325.2,,206.63388999999998,64.390328,40.749889,,,162.13996,47.987413000000004,40.712278999999995,0.0332144
J134632.13+642325.2,,206.63388999999998,64.390328,40.749889,,,162.13996,47.987413000000004,40.712278999999995,0.0332144
J115341.78+461242.3,5.880171096836014e+17,178.42407,46.211737,40.171594,,,144.82191,36.562197,40.171979,0.0197165
J115341.78+461242.3,5.880171096836014e+17,178.42407,46.211737,40.171594,,,144.82191,36.562197,40.171979,0.0197165
J115341.78+461242.3,5.880171096836014e+17,178.42407,46.211737,40.171594,,,144.82191,36.562197,40.171979,0.0197165
J115341.78+461242.3,5.880171096836014e+17,178.42407,46.211737,40.171594,,,144.82191,36.562197,40.171979,0.0197165
J115341.78+461242.3,5.880171096836014e+17,178.42407,46.211737,40.171594,,,144.82191,36.562197,40.171979,0.0197165
J140040.57-015518.3,,210.16903,-1.921744,41.032434,,,126.18036000000001,29.989878000000004,41.1078,0.0253248
J140040.57-015518.3,,210.16903,-1.921744,41.032434,,,126.18036000000001,29.989878000000004,41.1078,0.0253248
J140040.57-015518.3,,210.16903,-1.921744,41.032434,,,126.18036000000001,29.989878000000004,41.1078,0.0253248
J140040.57-015518.3,,210.16903,-1.921744,41.032434,,,126.18036000000001,29.989878000000004,41.1078,0.0253248
J140040.57-015518.3,,210.16903,-1.921744,41.032434,,,126.18036000000001,29.989878000000004,41.1078,0.0253248
J092438.89+560747.0,,141.16204,56.12971999999999,40.04399,,,212.6118,-0.8323797,40.014860999999996,0.0255217
J092438.89+560747.0,,141.16204,56.12971999999999,40.04399,,,212.6118,-0.8323797,40.014860999999996,0.0255217
J092438.89+560747.0,,141.16204,56.12971999999999,40.04399,,,212.6118,-0.8323797,40.014860999999996,0.0255217
J092438.89+560747.0,,141.16204,56.12971999999999,40.04399,,,212.6118,-0.8323797,40.014860999999996,0.0255217
J092438.89+560747.0,,141.16204,56.12971999999999,40.04399,,,212.6118,-0.8323797,40.014860999999996,0.0255217
J164721.48+444209.8,,251.83947999999998,44.702717,39.155291,,,158.68216,11.052976,39.159077,0.0221874
J164721.48+444209.8,,251.83947999999998,44.702717,39.155291,,,158.68216,11.052976,39.159077,0.0221874
J164721.48+444209.8,,251.83947999999998,44.702717,39.155291,,,158.68216,11.052976,39.159077,0.0221874
J164721.48+444209.8,,251.83947999999998,44.702717,39.155291,,,158.68216,11.052976,39.159077,0.0221874
J164721.48+444209.8,,251.83947999999998,44.702717,39.155291,,,158.68216,11.052976,39.159077,0.0221874
J112637.74+513423.0,5.877321353827451e+17,171.65725,51.573064,39.802217,,,179.26895,43.8271,39.785527,0.0252319
J112637.74+513423.0,5.877321353827451e+17,171.65725,51.573064,39.802217,,,179.26895,43.8271,39.785527,0.0252319
J112637.74+513423.0,5.877321353827451e+17,171.65725,51.573064,39.802217,,,179.26895,43.8271,39.785527,0.0252319
J112637.74+513423.0,5.877321353827451e+17,171.65725,51.573064,39.802217,,,179.26895,43.8271,39.785527,0.0252319
J112637.74+513423.0,5.877321353827451e+17,171.65725,51.573064,39.802217,,,179.26895,43.8271,39.785527,0.0252319
J080020.99+263648.7,5.877321568527974e+17,120.08743999999999,26.613535,40.883203,,,121.77993000000001,36.233472,40.755314,0.0322888
J080020.99+263648.7,5.877321568527974e+17,120.08743999999999,26.613535,40.883203,,,121.77993000000001,36.233472,40.755314,0.0322888
J080020.99+263648.7,5.877321568527974e+17,120.08743999999999,26.613535,40.883203,,,121.77993000000001,36.233472,40.755314,0.0322888
J080020.99+263648.7,5.877321568527974e+17,120.08743999999999,26.613535,40.883203,,,121.77993000000001,36.233472,40.755314,0.0322888
J080020.99+263648.7,5.877321568527974e+17,120.08743999999999,26.613535,40.883203,,,121.77993000000001,36.233472,40.755314,0.0322888
J133248.70+415218.6,,203.20292,41.871832,39.752814,,5.880177029378867e+17,197.27333000000002,11.634127000000001,39.745849,0.0251973
J133248.70+415218.6,,203.20292,41.871832,39.752814,,5.880177029378867e+17,197.27333000000002,11.634127000000001,39.745849,0.0251973
J133248.70+415218.6,,203.20292,41.871832,39.752814,,5.880177029378867e+17,197.27333000000002,11.634127000000001,39.745849,0.0251973
J133248.70+415218.6,,203.20292,41.871832,39.752814,,5.880177029378867e+17,197.27333000000002,11.634127000000001,39.745849,0.0251973
J133248.70+415218.6,,203.20292,41.871832,39.752814,,5.880177029378867e+17,197.27333000000002,11.634127000000001,39.745849,0.0251973
J114343.76+550019.3,,175.93235,55.005366,39.592878999999996,,,19.771425,0.62916836,39.625535,0.0326528
J114343.76+550019.3,,175.93235,55.005366,39.592878999999996,,,19.771425,0.62916836,39.625535,0.0326528
J114343.76+550019.3,,175.93235,55.005366,39.592878999999996,,,19.771425,0.62916836,39.625535,0.0326528
J114343.76+550019.3,,175.93235,55.005366,39.592878999999996,,,19.771425,0.62916836,39.625535,0.0326528
J004042.10-110957.6,,10.175425,-11.166005,38.970053,,,46.633328999999996,-6.422552,38.911187,0.028027
J004042.10-110957.6,,10.175425,-11.166005,38.970053,,,46.633328999999996,-6.422552,38.911187,0.028027
J004042.10-110957.6,,10.175425,-11.166005,38.970053,,,46.633328999999996,-6.422552,38.911187,0.028027
