 NAME1 RA1 DEC1 Z1 init1 con1 adp1 sig1 geq1 leq1 NAME2 RA2 DEC2 Z2 init2 con2 adp2 sig2 geq2 leq2
0 J083732.70+284218.7 129.38627 28.705196 0.011585 0.1684386990944848 0.042724928022964716 0.14056615160604455 0.1858150989356148 0.006732305497943821 0.2292580773622817 J231221.42+143633.8 348.08923 14.609381 0.0162342 0.19517548181047628 0.224913869815998 0.11583203906977052 0.2203683233612419 0.015371788624967634 0.18527711375942954
1 J083732.70+284218.7 129.38627 28.705196 0.011585 0.1684386990944848 0.042724928022964716 0.14056615160604455 0.1858150989356148 0.006732305497943821 0.2292580773622817 J130850.11-004902.3 197.2088 -0.81730439 0.017968400000000002 0.16381037552005415 0.16154416352872972 0.13940241833578856 0.14391630852812667 0.015665324518883885 0.19948791718443823
2 J083732.70+284218.7 129.38627 28.705196 0.011585 0.1684386990944848 0.042724928022964716 0.14056615160604455 0.1858150989356148 0.006732305497943821 0.2292580773622817 J034240.10-062254.6 55.667104 -6.3818355 0.021196700000000002 0.29153619501231254 0.22497539392894136 0.26713362719352257 0.24825864221868038 0.1819588800850284 0.3134999205615699
3 J083732.70+284218.7 129.38627 28.705196 0.011585 0.1684386990944848 0.042724928022964716 0.14056615160604455 0.1858150989356148 0.006732305497943821 0.2292580773622817 J120003.17+081054.2 180.0132 8.1817218 0.020422700000000002 0.3208132643108706 0.27960303120714575 0.3794559077616925 0.29669926467231095 0.2839104920705092 0.47088972474630514
4 J083732.70+284218.7 129.38627 28.705196 0.011585 0.1684386990944848 0.042724928022964716 0.14056615160604455 0.1858150989356148 0.006732305497943821 0.2292580773622817 J033733.38-063113.6 54.389098 -6.5204569 0.0179105 0.15310596811052887 0.1274582302816122 0.08804735801026793 0.0786684458687411 0.012922678356228111 0.12110032308237903
5 J033013.26-053236.1 52.55526500000001 -5.54335 0.013147 0.3200849358529396 0.13729746685353533 0.10384803674680212 0.6070865839650941 0.011320951152041231 0.16206163910908447 J010709.16-003718.1 16.788159 -0.62170676 0.017739599999999998 0.15476240390074397 0.2971818801871558 0.20710679508031726 0.2384327897632195 0.142113842374821 0.2841276562109029
6 J033013.26-053236.1 52.55526500000001 -5.54335 0.013147 0.3200849358529396 0.13729746685353533 0.10384803674680212 0.6070865839650941 0.011320951152041231 0.16206163910908447 J100811.56+422507.2 152.04818 42.41868 0.023134599999999998 0.24393992033598333 0.28202307519277214 0.06761505813101017 0.06965626546202743 0.032748071338748144 0.09716905631510055
7 J033013.26-053236.1 52.55526500000001 -5.54335 0.013147 0.3200849358529396 0.13729746685353533 0.10384803674680212 0.6070865839650941 0.011320951152041231 0.16206163910908447 J231644.67+132858.8 349.18614 13.483007999999998 0.0157717 0.25695384460893533 0.20895742367002496 0.30854134066812333 0.2965426685281817 0.21773880737561585 0.42780182656613275
8 J033013.26-053236.1 52.55526500000001 -5.54335 0.013147 0.3200849358529396 0.13729746685353533 0.10384803674680212 0.6070865839650941 0.011320951152041231 0.16206163910908447 J133305.34-010208.9 203.27226 -1.035819 0.0123821 0.1907847786516384 0.08966604848171779 0.19706853202619695 0.18297662204160256 0.01139599759469485 0.21755925024634087
9 J033013.26-053236.1 52.55526500000001 -5.54335 0.013147 0.3200849358529396 0.13729746685353533 0.10384803674680212 0.6070865839650941 0.011320951152041231 0.16206163910908447 J135429.16+541950.4 208.6215 54.330661 0.0153381 0.1928289723519671 0.13603309605054298 0.09828210674841865 0.1770253662936127 0.012963971286303414 0.14223198826969755
10 J094529.37+093610.4 146.37237 9.602897 0.013277 0.23980072376287606 0.2645175457162465 0.07167189082451396 0.14388885588801176 0.03231918722533233 0.0951646230499479 J100213.84+114120.5 150.55768 11.689017 0.021984200000000002 0.21692753887694718 0.2991899237611662 0.06525585450936397 0.15021144561499028 0.03681646028784485 0.07306926562885152
11 J094529.37+093610.4 146.37237 9.602897 0.013277 0.23980072376287606 0.2645175457162465 0.07167189082451396 0.14388885588801176 0.03231918722533233 0.0951646230499479 J111353.24+044806.2 168.47183 4.801718 0.020550299999999997 0.36064754881428873 0.28476278773130415 0.03856830861784745 0.15570661798179253 0.03979563857459321 0.06918874026206735
12 J094529.37+093610.4 146.37237 9.602897 0.013277 0.23980072376287606 0.2645175457162465 0.07167189082451396 0.14388885588801176 0.03231918722533233 0.0951646230499479 J085618.72-002629.4 134.07802 -0.44150027 0.012796700000000001 0.1833799929052493 0.08562338554592963 0.05486806264776339 0.08004345437893946 0.042251594894115695 0.06436774490498262
13 J094529.37+093610.4 146.37237 9.602897 0.013277 0.23980072376287606 0.2645175457162465 0.07167189082451396 0.14388885588801176 0.03231918722533233 0.0951646230499479 J152645.10+334059.8 231.6879 33.683281 0.014906899999999999 0.3247078652678783 0.24546178630206236 0.07318088957401665 0.16124116796627325 0.029424418975430616 0.0812676373560858
14 J094529.37+093610.4 146.37237 9.602897 0.013277 0.23980072376287606 0.2645175457162465 0.07167189082451396 0.14388885588801176 0.03231918722533233 0.0951646230499479 J012529.13-000326.3 21.371383 -0.057311275 0.021006900000000002 0.22827997217478135 0.23175933398580667 0.06150412018931856 0.1258544818286728 0.02943539332419332 0.07434837355355296
15 J155252.84+403848.2 238.22016 40.646728 0.015106999999999999 0.249902434073814 0.2348681918300203 0.14081973216194155 0.2555100424943039 0.019882636765890197 0.23313788988812176 J135314.12+002650.2 208.30882 0.44727438 0.0244875 0.2969789651381474 0.17395513748463146 0.04867249756578944 0.1251348289920591 0.0207766382164033 0.05586926442541416
